TYPE,NAME,ADDRESS,COMM_CODE
Landfill,Spyhill Landfill,69 ST and 112 AV NW,02F
Haz Good Drop,Spyhill Landfill,69 ST and 112 AV NW,02F
Cemetery,St. Mary's Cemetery,ERLTON ST SW & 32 AV SW,ERL
Arena,Stampede Corral,10 ROUNDUP WY SE,BLN
City Park,Stanley Park,4011 1A ST SW,PKH
Outdoor Pool,Stanley Park Outdoor & Wading Pool,4011 1A STREET SW,PKH
Arena,Stew Hendry/Henry Viney Arenas,814 13 AV NE,REN
Recycle Depot,Strathcona,555 Strathcona BV SW,STR
Arena,Stu Peppard Glenmore Arena,5300 19 ST SW,GPK
Recycle Depot,Sunridge,2525 36 ST NE,SUN
Off Leash Dog Area,THORNCLIFFE,280 NORTHMOUNT DR NW,THO
Off Leash Dog Area,THORNCLIFFE,628 63 AV NW,THO
Off Leash Dog Area,THORNCLIFFE,41 AV SW,THO
Off Leash Dog Area,THORNCLIFFE,6227 TOUCHWOOD DR NW,THO
Off Leash Dog Area,THORNCLIFFE,535 64 AV NE,THO
Off Leash Dog Area,THORNCLIFFE,980 48 AV NW,THO
Off Leash Dog Area,TUSCANY,8951 ROCKY RIDGE RD NW,TUS
Off Leash Dog Area,TUSCANY,TUSCANY COMMUNITY,TUS
Indoor Pool,Talisman Centre for Sport,2225 MACLEOD TR S,ERL
Leisure Centre,Talisman Centre for Sport,2225 MACLEOD TR S,ERL
Arena,Thorncliffe Greenview Community Association,5600 CENTER ST NW,THO
Indoor Pool,Thornhill Aquatic & Recreation Centre,6715 CENTRE ST NW,HUN
Leisure Centre,Thornhill Aquatic & Recreation Centre,6715 CENTRE ST NW,HUN
Athletic Park,Tom Brook Athletic Park,2000 SOUTHLAND DR SW,PAL
City Park,Tom Campbell's Hill Natural Park,25 ST GEORGES DR NE,BRD
City Park,Tomkins Park,17 AV & 8 ST SW,BLN
Recycle Depot,Trans Canada East,#300 1440 52 ST NE,MPK
Recycle Depot,Trans Canada West,Southwest of intersection Stoney TR N and Trans Canada HI W,01C
Indoor Pool,Trico Centre for Family Wellness,11150 BONAVENTURE DR SE,WIL
Leisure Centre,Trico Centre for Family Wellness,11150 BONAVENTURE DR SE,WIL
Arena,Triwood Community Association,2244 CHICOUTIMI DR NW,CHW
Recycle Depot,Tuscany,5019 Nose Hill DR NW,TUS
City Park,Twelve-mile Coulee Natural Park,TUSCANY BV NW & STONEY TRAIL NW,TUS
